thirdParty_id,company_id,credit,credit_term,credit_value,interest_rate,credit_balance,comercial_state,favor_balance
61,1,f,0,0,0,0.000000,active,0.000000
62,1,f,0,0,0,0.000000,active,0.000000
63,1,f,0,0,0,0.000000,active,0.000000
107,1,f,0,0,0,0.000000,active,0.000000
65,1,f,0,0,0,0.000000,active,0.000000
108,1,f,0,0,0,0.000000,active,0.000000
67,1,f,0,0,0,0.000000,active,0.000000
68,1,f,0,0,0,0.000000,active,0.000000
69,1,f,0,0,0,0.000000,active,0.000000
70,1,f,0,0,0,0.000000,active,0.000000
71,1,f,0,0,0,0.000000,active,0.000000
72,1,f,0,0,0,0.000000,active,0.000000
75,1,f,0,0,0,0.000000,active,0.000000
109,1,f,0,0,0,0.000000,active,0.000000
77,1,f,0,0,0,0.000000,active,0.000000
78,1,f,0,0,0,0.000000,active,0.000000
79,1,f,0,0,0,0.000000,active,0.000000
80,1,f,0,0,0,0.000000,active,0.000000
81,1,f,0,0,0,0.000000,active,0.000000
82,1,f,0,0,0,0.000000,active,0.000000
83,1,f,0,0,0,0.000000,active,0.000000
84,1,f,0,0,0,0.000000,active,0.000000
85,1,f,0,0,0,0.000000,active,0.000000
86,1,f,0,0,0,0.000000,active,0.000000
87,1,f,0,0,0,0.000000,active,0.000000
88,1,f,0,0,0,0.000000,active,0.000000
89,1,f,0,0,0,0.000000,active,0.000000
90,1,f,0,0,0,0.000000,active,0.000000
93,1,t,7,100000,0,0.000000,active,0.000000
94,1,f,0,0,0,0.000000,active,0.000000
95,1,f,0,0,0,0.000000,active,0.000000
97,1,f,0,0,0,0.000000,active,0.000000
98,1,f,0,0,0,0.000000,active,0.000000
99,1,f,0,0,0,0.000000,active,0.000000
100,1,f,0,0,0,0.000000,active,0.000000
96,1,t,15,500000,0,0.000000,active,0.000000
49,1,f,0,0,0,0.000000,active,0.000000
66,1,t,30,2e+06,0,0.000000,active,0.000000
76,1,t,15,500000,0,0.000000,active,0.000000
110,1,f,0,0,0,0.000000,active,0.000000
111,1,f,0,0,0,0.000000,active,0.000000
112,1,f,0,0,0,0.000000,active,0.000000
113,1,f,0,0,0,0.000000,active,0.000000
114,1,f,0,0,0,0.000000,active,0.000000
115,1,f,0,0,0,0.000000,active,0.000000
116,1,f,0,0,0,0.000000,active,0.000000
117,1,f,0,0,0,0.000000,active,0.000000
118,1,f,0,0,0,0.000000,active,0.000000
119,1,f,0,0,0,0.000000,active,0.000000
120,1,f,0,0,0,0.000000,active,0.000000
121,1,f,0,0,0,0.000000,active,0.000000
122,1,f,0,0,0,0.000000,active,0.000000
123,1,f,0,0,0,0.000000,active,0.000000
124,1,f,0,0,0,0.000000,active,0.000000
126,1,f,0,0,0,0.000000,active,0.000000
127,1,f,0,0,0,0.000000,active,0.000000
129,1,f,0,0,0,0.000000,active,0.000000
130,1,f,0,0,0,0.000000,active,0.000000
131,1,f,0,0,0,0.000000,active,0.000000
132,1,f,0,0,0,0.000000,active,0.000000
133,1,f,0,0,0,0.000000,active,0.000000
134,1,f,0,0,0,0.000000,active,0.000000
137,1,f,0,0,0,0.000000,active,0.000000
138,1,f,0,0,0,0.000000,active,0.000000
139,1,f,0,0,0,0.000000,active,0.000000
143,2,t,15,1e+06,0,0.000000,active,0.000000
144,1,f,0,0,0,0.000000,active,0.000000
147,1,f,0,0,0,0.000000,active,0.000000
148,1,f,0,0,0,0.000000,active,0.000000
149,1,f,0,0,0,0.000000,active,0.000000
150,1,f,0,0,0,0.000000,active,0.000000
146,2,t,7,100000,0,0.000000,active,0.000000
136,2,f,7,1e+06,0,0.000000,active,0.000000
151,1,f,0,0,0,0.000000,active,0.000000
152,1,f,0,0,0,0.000000,active,0.000000
153,1,f,0,0,0,0.000000,active,0.000000
154,1,f,0,0,0,0.000000,active,0.000000
155,1,f,0,0,0,0.000000,active,0.000000
156,1,f,0,0,0,0.000000,active,0.000000
157,1,f,0,0,0,0.000000,active,0.000000
158,1,f,0,0,0,0.000000,active,0.000000
159,2,t,20,1e+06,5,0.000000,active,0.000000
160,1,f,0,0,0,0.000000,active,0.000000
161,1,f,0,0,0,0.000000,active,0.000000
162,1,f,0,0,0,0.000000,active,0.000000
163,1,f,0,0,0,0.000000,active,0.000000
164,1,f,0,0,0,0.000000,active,0.000000
165,1,f,0,0,0,0.000000,active,0.000000
166,1,f,0,0,0,0.000000,active,0.000000
167,5,t,15,1e+06,0,0.000000,active,0.000000
168,1,f,0,0,0,0.000000,active,0.000000
73,1,t,15,300000,0,0.000000,active,0.000000
169,1,f,0,0,0,0.000000,active,0.000000
