CUENTA;NOMBRE;NATURALEZA;ESTADO
132599;CUENTA AJUSTES NIIF;DB;ACTIVO
1328;APORTES POR COBRAR;DB;ACTIVO
132899;CUENTA AJUSTES NIIF;DB;ACTIVO
1330;ANTICIPOS Y AVANCES;DB;ACTIVO
133005;A PROVEEDORES;DB;ACTIVO
133010;A CONTRATISTAS;DB;ACTIVO
133015;A TRABAJADORES;DB;ACTIVO
133020;A AGENTES;DB;ACTIVO
133025;A CONCESIONARIOS;DB;ACTIVO
133030;DE ADJUDICACIONES;DB;ACTIVO
133095;OTROS;DB;ACTIVO
133099;CUENTA AJUSTES NIIF;DB;ACTIVO
1332;CUENTAS DE OPERACION CONJUNTA;DB;ACTIVO
133299;CUENTA AJUSTES NIIF;DB;ACTIVO
1335;DEPOSITOS;DB;ACTIVO
133505;PARA IMPORTACIONES;DB;ACTIVO
133510;PARA SERVICIOS;DB;ACTIVO
133515;PARA CONTRATOS;DB;ACTIVO
133520;PARA RESPONSABILIDADES;DB;ACTIVO
133525;PARA JUICIOS EJECUTIVOS;DB;ACTIVO
133530;PARA ADQUISICION DE ACCIONES/ CUOTAS O DERECHOS SOCIALES;DB;ACTIVO
133535;EN GARANTIA;DB;ACTIVO
133595;OTROS;DB;ACTIVO
133599;CUENTA AJUSTES NIIF;DB;ACTIVO
1340;PROMESAS DE COMPRA VENTA;DB;ACTIVO
134005;DE BIENES RAICES;DB;ACTIVO
134010;DE MAQUINARIA Y EQUIPO;DB;ACTIVO
134015;DE FLOTA Y EQUIPO DE TRANSPORTE;DB;ACTIVO
134020;DE FLOTA Y EQUIPO AEREO;DB;ACTIVO
134025;DE FLOTA Y EQUIPO FERREO;DB;ACTIVO
134030;DE FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;DB;ACTIVO
134035;DE SEMOVIENTES;DB;ACTIVO
134095;DE OTROS BIENES;DB;ACTIVO
134099;CUENTA AJUSTES NIIF;DB;ACTIVO
1345;INGRESOS POR COBRAR;DB;ACTIVO
134505;DIVIDENDOS Y/O PARTICIPACIONES;DB;ACTIVO
134510;INTERESES;DB;ACTIVO
134515;COMISIONES;DB;ACTIVO
134520;HONORARIOS;DB;ACTIVO
134525;SERVICIOS;DB;ACTIVO
134530;ARRENDAMIENTOS;DB;ACTIVO
134535;CERT POR COBRAR;DB;ACTIVO
134595;OTROS;DB;ACTIVO
134599;CUENTA AJUSTES NIIF;DB;ACTIVO
1350;RETENCION SOBRE CONTRATOS;DB;ACTIVO
135005;DE CONSTRUCCION;DB;ACTIVO
135010;DE PRESTACION DE SERVICIOS;DB;ACTIVO
135095;OTROS;DB;ACTIVO
135099;CUENTA AJUSTES NIIF;DB;ACTIVO
1355;ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR;DB;ACTIVO
135505;ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS;DB;ACTIVO
135510;ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO;DB;ACTIVO
135515;RETENCION EN LA FUENTE;DB;ACTIVO
135517;IMPUESTO A LAS VENTAS RETENIDO;DB;ACTIVO
135518;IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO;DB;ACTIVO
135519;RETENCION CREE;DB;ACTIVO
135520;SOBRANTES EN LIQUIDACION PRIVADA DE IMPUESTOS;DB;ACTIVO
135525;CONTRIBUCIONES;DB;ACTIVO
135530;IMPUESTOS DESCONTABLES;DB;ACTIVO
135595;OTROS;DB;ACTIVO
135599;CUENTA AJUSTES NIIF;DB;ACTIVO
1360;RECLAMACIONES;DB;ACTIVO
136005;A COMPA¥IAS ASEGURADORAS;DB;ACTIVO
136010;A TRANSPORTADORES;DB;ACTIVO
136015;POR TIQUETES AEREOS;DB;ACTIVO
136095;OTRAS;DB;ACTIVO
136099;CUENTA AJUSTES NIIF;DB;ACTIVO
1365;CUENTAS POR COBRAR A TRABAJADORES;DB;ACTIVO
136505;VIVIENDA;DB;ACTIVO
136510;VEHICULOS;DB;ACTIVO
136515;EDUCACION;DB;ACTIVO
136520;MEDICOS/ ODONTOLOGICOS Y SIMILARES;DB;ACTIVO
136525;CALAMIDAD DOMESTICA;DB;ACTIVO
136530;RESPONSABILIDADES;DB;ACTIVO
136595;OTROS;DB;ACTIVO
136599;CUENTA AJUSTES NIIF;DB;ACTIVO
1370;PRESTAMOS A PARTICULARES;DB;ACTIVO
137005;CON GARANTIA REAL;DB;ACTIVO
137010;CON GARANTIA PERSONAL;DB;ACTIVO
137099;CUENTA AJUSTES NIIF;DB;ACTIVO
1380;DEUDORES VARIOS;DB;ACTIVO
138005;DEPOSITARIOS;DB;ACTIVO
138010;COMISIONISTAS DE BOLSAS;DB;ACTIVO
138015;FONDO DE INVERSION;DB;ACTIVO
138020;CUENTAS POR COBRAR DE TERCEROS;DB;ACTIVO
138025;PAGOS POR CUENTA DE TERCEROS;DB;ACTIVO
138030;FONDOS DE INVERSION SOCIAL;DB;ACTIVO
138095;OTROS;DB;ACTIVO
138099;CUENTA AJUSTES NIIF;DB;ACTIVO
1385;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;DB;ACTIVO
138599;CUENTA AJUSTES NIIF;DB;ACTIVO
1390;DEUDAS DE DIFICIL COBRO;DB;ACTIVO
139099;CUENTA AJUSTES NIIF;DB;ACTIVO
1399;PROVISIONES;CR;ACTIVO
139905;CLIENTES;CR;ACTIVO
139910;CUENTAS CORRIENTES COMERCIALES;CR;ACTIVO
139915;CUENTAS POR COBRAR A CASA MATRIZ;CR;ACTIVO
139920;CUENTAS POR COBRAR A VINCULADOS ECONOMICOS;CR;ACTIVO
139925;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS;CR;ACTIVO
139930;ANTICIPOS Y AVANCES;CR;ACTIVO
139932;CUENTAS DE OPERACION CONJUNTA;CR;ACTIVO
139935;DEPOSITOS;CR;ACTIVO
139940;PROMESAS DE COMPRAVENTA;CR;ACTIVO
139945;INGRESOS POR COBRAR;CR;ACTIVO
139950;RETENCION SOBRE CONTRATOS;CR;ACTIVO
139955;RECLAMACIONES;CR;ACTIVO
139960;CUENTAS POR COBRAR A TRABAJADORES;CR;ACTIVO
139965;PRESTAMOS A PARTICULARES;CR;ACTIVO
139975;DEUDORES VARIOS;CR;ACTIVO
139980;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;CR;ACTIVO
139999;CUENTA AJUSTES NIIF;CR;ACTIVO
14;INVENTARIOS;DB;ACTIVO
1405;MATERIAS PRIMAS;DB;ACTIVO
140599;AJUSTES POR INFLACION;DB;ACTIVO
140599;CUENTA AJUSTES NIIF;DB;ACTIVO
1410;PRODUCTOS EN PROCESO;DB;ACTIVO
141099;AJUSTES POR INFLACION;DB;ACTIVO
141099;CUENTA AJUSTES NIIF;DB;ACTIVO
1415;OBRAS DE CONSTRUCCION EN CURSO;DB;ACTIVO
141599;AJUSTES POR INFLACION;DB;ACTIVO
141599;CUENTA AJUSTES NIIF;DB;ACTIVO
1417;OBRAS DE URBANISMO;DB;ACTIVO
141799;AJUSTES POR INFLACION;DB;ACTIVO
141799;CUENTA AJUSTES NIIF;DB;ACTIVO
1420;CONTRATOS EN EJECUCION;DB;ACTIVO
142099;AJUSTES POR INFLACION;DB;ACTIVO
142099;CUENTA AJUSTES NIIF;DB;ACTIVO
1425;CULTIVOS EN DESARROLLO;DB;ACTIVO
142599;AJUSTES POR INFLACION;DB;ACTIVO
142599;CUENTA AJUSTES NIIF;DB;ACTIVO
1430;PRODUCTOS TERMINADOS;DB;ACTIVO
143005;PRODUCTOS MANUFACTURADOS;DB;ACTIVO
143010;PRODUCTOS EXTRAIDOS Y/O PROCESADOS;DB;ACTIVO
143015;PRODUCTOS AGRICOLAS Y FORESTALES;DB;ACTIVO
143020;SUBPRODUCTOS;DB;ACTIVO
143025;PRODUCTOS DE PESCA;DB;ACTIVO
143099;AJUSTES POR INFLACION;DB;ACTIVO
143099;CUENTA AJUSTES NIIF;DB;ACTIVO
1435;MERCANCIAS NO FABRICADAS POR LA EMPRESA;DB;ACTIVO
143599;AJUSTES POR INFLACION;DB;ACTIVO
143599;CUENTA AJUSTES NIIF;DB;ACTIVO
1440;BIENES RAICES PARA LA VENTA;DB;ACTIVO
144099;AJUSTES POR INFLACION;DB;ACTIVO
144099;CUENTA AJUSTES NIIF;DB;ACTIVO
1445;SEMOVIENTES;DB;ACTIVO
144505;ESPECIES MAYORES;DB;ACTIVO
144510;ESPECIES MENORES;DB;ACTIVO
144599;AJUSTES POR INFLACION;DB;ACTIVO
144599;CUENTA AJUSTES NIIF;DB;ACTIVO
1450;TERRENOS;DB;ACTIVO
145005;POR URBANIZAR;DB;ACTIVO
145010;URBANIZADOS POR CONSTRUIR;DB;ACTIVO
145099;AJUSTES POR INFLACION;DB;ACTIVO
145099;CUENTA AJUSTES NIIF;DB;ACTIVO
1455;MATERIALES/ REPUESTOS Y ACCESORIOS;DB;ACTIVO
145505;COMBUSTIBLES Y LUBRICANTES;DB;ACTIVO
145510;ABONOS Y FERTILIZANTES;DB;ACTIVO
145515;SEMILLAS TERMINADAS;DB;ACTIVO
145520;FUNGICIDAS Y HERBICIDAS;DB;ACTIVO
145525;MATERIALES Y REPUESTOS;DB;ACTIVO
145530;LOZA Y CRISTALERIA;DB;ACTIVO
145535;HERRAMIENTAS;DB;ACTIVO
145540;MEDICINAS;DB;ACTIVO
145545;ELEMENTOS HOSPITALARIOS;DB;ACTIVO
145550;INSTRUMENTAL QUIRURGICO;DB;ACTIVO
145555;DOTACION Y SUMINISTRO A TRABAJADORES;DB;ACTIVO
145560;ELEMENTOS DE ROPERIA Y LENCERIA;DB;ACTIVO
145595;OTROS;DB;ACTIVO
145599;AJUSTES POR INFLACION;DB;ACTIVO
145599;CUENTA AJUSTES NIIF;DB;ACTIVO
1460;ENVASES Y EMPAQUES;DB;ACTIVO
146099;AJUSTES POR INFLACION;DB;ACTIVO
146099;CUENTA AJUSTES NIIF;DB;ACTIVO
1465;INVENTARIOS EN TRANSITO;DB;ACTIVO
146599;AJUSTES POR INFLACION;DB;ACTIVO
146599;CUENTA AJUSTES NIIF;DB;ACTIVO
1499;PROVISIONES;DB;ACTIVO
149905;PARA OBSOLESCENCIA;DB;ACTIVO
149910;PARA DIFERENCIA DE INVENTARIO FISICO;DB;ACTIVO
149915;PARA PERDIDAS DE INVENTARIOS;DB;ACTIVO
149920;LIFO;DB;ACTIVO
149999;CUENTA AJUSTES NIIF;DB;ACTIVO
15;PROPIEDADES PLANTA Y EQUIPO;DB;ACTIVO
1504;TERRENOS;DB;ACTIVO
150405;URBANOS;DB;ACTIVO
150410;RURALES;DB;ACTIVO
150499;AJUSTES POR INFLACION;DB;ACTIVO
150499;CUENTA AJUSTES NIIF;DB;ACTIVO
1506;MATERIALES PROYECTOS PETROLEROS;DB;ACTIVO
150605;TUBERIAS Y EQUIPO;DB;ACTIVO
150610;COSTOS DE IMPORTACION MATERIALES;DB;ACTIVO
150615;PROYECTOS DE CONSTRUCCION;DB;ACTIVO
150699;AJUSTES POR INFLACION;DB;ACTIVO
150699;CUENTA AJUSTES NIIF;DB;ACTIVO
1508;CONSTRUCCIONES EN CURSO;DB;ACTIVO
150805;CONSTRUCCIONES Y EDIFICACIONES;DB;ACTIVO
150810;ACUEDUCTOS PLANTAS Y REDES;DB;ACTIVO
150815;VIAS DE COMUNICACION;DB;ACTIVO
150820;POZOS ARTESIANOS;DB;ACTIVO
150825;PROYECTOS DE EXPLORACION;DB;ACTIVO
150830;PROYECTOS DE DESARROLLO;DB;ACTIVO
